MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1007034026031,16.503,0.078,94.30028,-7.83976,55979.17136,0
1007034026031,16.526,0.079,94.30030,-7.83978,55979.17810,0
1007034026031,16.580,0.080,94.30027,-7.83978,56008.11160,0
1007034026031,16.533,0.079,94.30024,-7.83975,56008.12073,0
1007034026031,16.594,0.080,94.30023,-7.83977,56008.12979,0
1007034026031,16.641,0.081,94.30027,-7.83975,56008.13888,0
1007034026276,18.161,0.142,94.32235,-7.83968,54830.27443,0
1007034026276,18.058,0.136,94.32236,-7.83971,54830.27983,0
1007034026276,18.128,0.140,94.32235,-7.83967,54830.28523,0
1007034026276,17.968,0.132,94.32237,-7.83950,54830.29053,0
1007034026276,17.961,0.131,94.32230,-7.83952,54830.29593,0
1007034026276,18.166,0.158,94.32250,-7.83960,54527.21398,0
1007034026276,18.142,0.157,94.32231,-7.83959,54527.22118,0
1007034026276,17.840,0.134,94.32249,-7.83953,54527.22838,0
1007034026276,18.220,0.163,94.32244,-7.83951,54527.23557,0
1007034026276,17.977,0.144,94.32245,-7.83970,54794.44231,0
1007034026276,18.205,0.170,94.32253,-7.83963,54794.44623,0
1007034026276,18.030,0.158,94.32224,-7.83964,54794.45014,0
1007034026276,18.012,0.155,94.32231,-7.83987,54794.45407,0
1007034026276,18.096,0.155,94.32244,-7.83967,54794.45801,0
1007034026276,17.774,0.113,94.32225,-7.83972,55157.43709,0
1007034026276,18.229,0.135,94.32243,-7.83955,55157.44256,0
1007034026276,17.985,0.123,94.32232,-7.83974,55157.44802,0
1007034026276,17.869,0.121,94.32239,-7.83945,55157.45356,0
1007034026276,17.648,0.109,94.32230,-7.83970,55157.45913,0
1007034026276,18.093,0.132,94.32227,-7.83951,55517.32235,0
1007034026276,18.122,0.134,94.32250,-7.83965,55517.33275,0
1007034026276,18.109,0.133,94.32245,-7.83943,55517.33797,0
1007034026276,18.138,0.133,94.32237,-7.83962,55599.19135,0
1007034026276,18.171,0.135,94.32248,-7.83963,55599.19764,0
1007034026276,18.118,0.131,94.32232,-7.83960,55599.20394,0
1007034026276,17.934,0.122,94.32235,-7.83951,55599.21019,0
1007034026276,18.200,0.134,94.32239,-7.83965,55889.40125,0
1007034026276,17.905,0.119,94.32232,-7.83957,55889.40906,0
1007034026276,18.055,0.126,94.32238,-7.83963,55889.41701,0
1007034026276,18.063,0.126,94.32234,-7.83959,55889.42493,0
1007034026276,18.036,0.126,94.32237,-7.83961,55922.27177,0
1007034026276,18.082,0.128,94.32236,-7.83962,55922.27788,0
1007034026276,17.716,0.112,94.32229,-7.83950,55922.28409,0
1007034026276,18.021,0.125,94.32225,-7.83971,55922.29031,0
1007034026276,17.860,0.119,94.32209,-7.83949,55979.15790,0
1007034026276,17.938,0.123,94.32214,-7.83969,55979.16465,0
1007034026276,18.078,0.130,94.32229,-7.83955,55979.17136,0
1007034026276,18.104,0.132,94.32239,-7.83960,55979.17810,0
1007034026276,18.103,0.131,94.32230,-7.83965,56008.11160,0
1007034026276,18.247,0.139,94.32233,-7.83963,56008.12073,0
1007034026276,18.218,0.137,94.32228,-7.83965,56008.12979,0
1007034026276,18.034,0.127,94.32229,-7.83967,56008.13888,0
1007034026400,16.912,0.091,94.32862,-7.82722,54830.27443,0
1007034026400,16.960,0.092,94.32876,-7.82738,54830.27983,0
1007034026400,16.943,0.092,94.32865,-7.82732,54830.28523,0
1007034026400,16.900,0.091,94.32865,-7.82725,54830.29053,0
1007034026400,16.931,0.091,94.32851,-7.82736,54830.29593,0
1007034026400,17.253,0.110,94.32853,-7.82736,54527.21398,0
1007034026400,17.290,0.109,94.32867,-7.82732,54527.22838,0
1007034026400,17.471,0.120,94.32838,-7.82738,54527.23557,0
1007034026400,16.899,0.097,94.32863,-7.82730,54794.44231,0
1007034026400,17.106,0.108,94.32860,-7.82750,54794.44623,0
1007034026400,16.987,0.105,94.32864,-7.82718,54794.45014,0
1007034026400,16.865,0.100,94.32870,-7.82744,54794.45407,0
1007034026400,17.252,0.111,94.32863,-7.82734,54794.45801,0
1007034026400,17.180,0.093,94.32854,-7.82752,55157.43709,0
1007034026400,17.035,0.089,94.32866,-7.82730,55157.44256,0
1007034026400,17.020,0.089,94.32862,-7.82744,55157.44802,0
1007034026400,17.074,0.092,94.32868,-7.82726,55157.45356,0
1007034026400,16.906,0.086,94.32862,-7.82734,55157.45913,0
1007034026400,17.453,0.104,94.32869,-7.82737,55517.33275,0
1007034026400,17.289,0.099,94.32883,-7.82729,55517.33797,0
1007034026400,17.141,0.093,94.32862,-7.82736,55599.19135,0
1007034026400,16.952,0.088,94.32867,-7.82727,55599.19764,0
1007034026400,17.329,0.099,94.32864,-7.82733,55599.20394,0
1007034026400,17.603,0.108,94.32861,-7.82727,55599.21019,0
1007034026400,17.077,0.090,94.32847,-7.82743,55889.40125,0
1007034026400,17.390,0.099,94.32878,-7.82740,55889.40906,0
1007034026400,17.489,0.103,94.32860,-7.82753,55889.41701,0
1007034026400,17.229,0.094,94.32869,-7.82747,55889.42493,0
1007034026400,17.314,0.097,94.32869,-7.82726,55922.27177,0
1007034026400,17.472,0.104,94.32860,-7.82730,55979.15790,0
1007034026400,17.456,0.103,94.32870,-7.82736,55979.16465,0
1007034026400,17.141,0.093,94.32859,-7.82738,56008.11160,0
1007034026400,17.370,0.100,94.32857,-7.82735,56008.12073,0
1007034026400,17.481,0.104,94.32867,-7.82741,56008.13888,0
1007034026465,17.243,0.101,94.28692,-7.82842,54830.27443,0
1007034026465,17.200,0.099,94.28700,-7.82845,54830.27983,0
1007034026465,17.099,0.096,94.28705,-7.82845,54830.29053,0
1007034026465,17.381,0.115,94.28702,-7.82839,54527.21398,0
1007034026465,17.517,0.121,94.28701,-7.82825,54527.22118,0
1007034026465,17.556,0.120,94.28690,-7.82844,54527.22838,0
1007034026465,17.545,0.123,94.28704,-7.82837,54527.23557,0
1007034026465,17.354,0.113,94.28685,-7.82846,54794.44231,0
1007034026465,17.162,0.111,94.28683,-7.82835,54794.44623,0
1007034026465,17.272,0.116,94.28682,-7.82844,54794.45014,0
1007034026465,17.658,0.133,94.28697,-7.82832,54794.45407,0
1007034026465,17.290,0.112,94.28713,-7.82852,54794.45801,0
1007034026465,17.464,0.102,94.28688,-7.82835,55157.43709,0
1007034026465,17.134,0.092,94.28700,-7.82841,55157.44256,0
1007034026465,17.488,0.103,94.28706,-7.82836,55157.44802,0
1007034026465,17.411,0.102,94.28696,-7.82842,55157.45356,0
1007034026465,17.465,0.105,94.28682,-7.82847,55517.32235,0
1007034026465,17.529,0.107,94.28688,-7.82848,55517.33275,0
1007034026465,17.203,0.096,94.28704,-7.82835,55517.33797,0
1007034026465,17.214,0.095,94.28710,-7.82835,55599.19135,0
1007034026465,17.129,0.093,94.28689,-7.82836,55599.19764,0
1007034026465,17.086,0.091,94.28682,-7.82840,55599.20394,0
1007034026465,16.860,0.086,94.28679,-7.82849,55599.21019,0
1007034026465,17.484,0.103,94.28704,-7.82836,55889.40125,0
1007034026465,17.304,0.097,94.28689,-7.82838,55889.41701,0
1007034026465,17.198,0.093,94.28686,-7.82851,55889.42493,0
1007034026465,17.022,0.089,94.28678,-7.82841,55922.27177,0
1007034026465,17.019,0.089,94.28684,-7.82840,55922.28409,0
1007034026465,16.995,0.088,94.28693,-7.82837,55922.29031,0
1007034026465,17.181,0.094,94.28683,-7.82842,55979.16465,0
1007034026465,17.458,0.103,94.28691,-7.82840,55979.17136,0
1007034026465,17.349,0.100,94.28696,-7.82835,55979.17810,0
1007034026465,17.201,0.095,94.28686,-7.82838,56008.11160,0
1007034026465,17.512,0.105,94.28691,-7.82842,56008.12073,0
1007034026465,17.599,0.108,94.28688,-7.82838,56008.12979,0
1007034026465,17.437,0.102,94.28686,-7.82841,56008.13888,0
1007034026622,12.088,0.051,94.26744,-7.83544,54830.28523,0
1007034026622,11.976,0.051,94.26764,-7.83253,54527.23557,0
1007034026622,12.331,0.051,94.26812,-7.83296,55889.40906,0
1007034026622,13.017,0.052,94.26781,-7.83459,55922.29031,0
1007034026622,12.379,0.051,94.26791,-7.83400,56008.12073,0
1007034026626,19.196,0.230,94.33396,-7.82004,54830.27443,0
1007034026626,19.069,0.216,94.33382,-7.81978,54830.27983,0
1007034026626,19.252,0.237,94.33425,-7.82005,54830.28523,0
1007034026626,19.019,0.211,94.33401,-7.81999,54830.29053,0
1007034026626,19.156,0.226,94.33418,-7.82028,54830.29593,0
1007034026626,19.211,0.263,94.33421,-7.81988,54527.21398,0
1007034026626,19.142,0.256,94.33384,-7.82003,54527.23557,0
1007034026626,19.474,0.299,94.33404,-7.82004,54794.44231,0
1007034026626,19.430,0.314,94.33421,-7.81991,54794.44623,0
1007034026626,19.029,0.255,94.33397,-7.82002,54794.45014,0
1007034026626,19.864,0.380,94.33445,-7.82023,54794.45801,0
1007034026626,19.166,0.207,94.33385,-7.82023,55157.43709,0
1007034026626,19.334,0.225,94.33400,-7.82023,55157.44256,0
1007034026626,19.442,0.238,94.33405,-7.82008,55157.44802,0
1007034026626,19.225,0.220,94.33408,-7.82018,55157.45356,0
1007034026626,19.095,0.200,94.33396,-7.81974,55157.45913,0
1007034026626,19.378,0.239,94.33391,-7.81992,55517.33275,0
1007034026626,18.952,0.190,94.33408,-7.82018,55599.19135,0
1007034026626,19.015,0.197,94.33376,-7.81989,55599.19764,0
1007034026626,18.881,0.183,94.33397,-7.81985,55599.20394,0
1007034026626,19.036,0.198,94.33398,-7.81990,55599.21019,0
1007034026626,19.461,0.240,94.33412,-7.82023,55889.40125,0
1007034026626,19.084,0.198,94.33384,-7.82025,55889.40906,0
1007034026626,19.305,0.221,94.33407,-7.82016,55889.41701,0
1007034026626,19.178,0.208,94.33403,-7.81987,55889.42493,0
1007034026626,19.565,0.255,94.33397,-7.81996,55922.27177,0
1007034026626,19.579,0.257,94.33427,-7.82009,55922.27788,0
1007034026626,19.038,0.196,94.33385,-7.82020,55922.28409,0
1007034026626,19.459,0.241,94.33385,-7.82016,55922.29031,0
1007034026626,19.549,0.257,94.33386,-7.81998,55979.15790,0
1007034026626,18.885,0.185,94.33420,-7.82007,55979.16465,0
1007034026626,19.273,0.224,94.33392,-7.82019,55979.17136,0
1007034026626,19.167,0.213,94.33401,-7.81991,55979.17810,0
1007034026626,19.535,0.254,94.33402,-7.82019,56008.11160,0
1007034026626,18.912,0.186,94.33397,-7.82004,56008.12073,0
1007034026626,18.933,0.189,94.33395,-7.82005,56008.12979,0
1007034026626,19.838,0.298,94.33393,-7.82003,56008.13888,0
1007034026649,17.697,0.118,94.31613,-7.82820,54830.27443,0
1007034026649,18.021,0.134,94.31624,-7.82794,54830.27983,0
1007034026649,18.023,0.134,94.31622,-7.82810,54830.28523,0
1007034026649,17.699,0.118,94.31599,-7.82853,54830.29053,0
1007034026649,17.882,0.127,94.31618,-7.82785,54830.29593,0
1007034026649,18.012,0.148,94.31626,-7.82799,54527.21398,0
1007034026649,18.130,0.156,94.31628,-7.82793,54527.22118,0
1007034026649,16.406,0.083,94.31554,-7.82804,54527.22838,0
1007034026649,17.693,0.129,94.31585,-7.82874,54794.44231,0
1007034026649,17.798,0.142,94.31643,-7.82778,54794.44623,0
1007034026649,17.471,0.125,94.31563,-7.82876,54794.45014,0
1007034026649,18.156,0.165,94.31670,-7.82769,54794.45407,0
1007034026649,17.768,0.135,94.31649,-7.82822,54794.45801,0
1007034026649,17.902,0.119,94.31648,-7.82780,55157.43709,0
1007034026649,17.812,0.115,94.31599,-7.82817,55157.44256,0
1007034026649,18.273,0.138,94.31633,-7.82784,55157.44802,0
1007034026649,17.859,0.120,94.31607,-7.82842,55157.45356,0
1007034026649,17.698,0.111,94.31626,-7.82813,55157.45913,0
1007034026649,18.393,0.150,94.31666,-7.82782,55517.32235,0
1007034026649,17.962,0.126,94.31614,-7.82855,55517.33275,0
1007034026649,18.566,0.162,94.31668,-7.82791,55517.33797,0
1007034026649,17.775,0.115,94.31624,-7.82792,55599.19135,0
1007034026649,18.108,0.132,94.31591,-7.82831,55599.19764,0
1007034026649,18.116,0.131,94.31637,-7.82788,55599.20394,0
1007034026649,18.170,0.135,94.31632,-7.82798,55599.21019,0
1007034026649,17.978,0.123,94.31597,-7.82840,55889.40125,0
1007034026649,17.903,0.119,94.31593,-7.82850,55889.40906,0
1007034026649,18.279,0.138,94.31580,-7.82832,55889.41701,0
1007034026649,17.806,0.115,94.31622,-7.82779,55889.42493,0
1007034026649,18.157,0.132,94.31641,-7.82785,55922.27177,0
1007034026649,18.005,0.125,94.31626,-7.82807,55922.27788,0
1007034026649,18.976,0.190,94.31632,-7.82798,55922.28409,0
1007034026649,18.635,0.162,94.31642,-7.82794,55922.29031,0
1007034026649,17.870,0.120,94.31591,-7.82839,55979.15790,0
1007034026649,18.127,0.132,94.31627,-7.82790,55979.16465,0
1007034026649,18.221,0.138,94.31586,-7.82848,55979.17136,0
